name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence,enrichment_status,manifest_version_added
Vico's Corsi e Ricorsi,Vichian Cycles,framework,history,"Giambattista Vico's cyclical theory of historical recurrence through ages of gods, heroes, and men, articulated in the New Science.",philosophical-tradition,,high,pending,v4.2
Spenglerian Cycles,Decline of the West,framework,history,Oswald Spengler's morphological theory treating civilizations as organic entities with predictable life cycles of growth and decline.,philosophical-tradition,,high,pending,v4.2
Toynbee's Civilizations,Challenge and Response,framework,history,Arnold Toynbee's framework analyzing twenty-one civilizations through their responses to environmental and historical challenges.,philosophical-tradition,,high,pending,v4.2
Kondratiev Waves,K-waves; Long Waves,framework,economics,"Approximately fifty-year economic cycles theorized by Nikolai Kondratiev, later integrated with Schumpeterian innovation theory.",structured-empirical,Empirical evidence for the cycle's regularity is contested; the framework has been more influential in heterodox economics than in mainstream macroeconomics.,high,pending,v4.2
Demographic Transition Theory,,framework,sociology,"Stage model describing how populations move from high birth and death rates to low rates as societies industrialize, associated with Notestein.",structured-empirical,,high,pending,v4.2
Malthusian Trap,Malthusian Catastrophe,framework,economics,"Thomas Malthus's theory that population growth eventually outpaces food production, producing recurring crises of subsistence.",structured-empirical,Strong-form predictions have been substantially falsified in modern economies; weak-form applications to pre-industrial societies remain influential through the Clark hypothesis and unified growth theory.,high,pending,v4.2
Hayden White's Tropics,Metahistory,framework,history,"Hayden White's framework analyzing historical writing through four master tropes (metaphor, metonymy, synecdoche, irony) governing emplotment.",philosophical-tradition,,high,pending,v4.2
Theosophy,Blavatskian Theosophy,framework,theology,"Blavatsky's synthetic spiritual system describing hidden masters, root races, and planes of existence; foundational to modern Western esotericism.",esoteric-tradition,"Specific historical and metaphysical claims (root races, hidden masters in Tibet) have no empirical support and the framework's race-evolutionary apparatus has been criticized as proto-racialist; influence on later esoteric movements is nonetheless substantial.",high,pending,v4.2
Anthroposophy,Steinerism,framework,theology,"Rudolf Steiner's spiritual science framework describing spiritual hierarchies, etheric and astral bodies, and karmic evolution; basis of Waldorf education and biodynamic agriculture.",esoteric-tradition,Specific spiritual-scientific claims have no empirical support; Waldorf education and biodynamic agriculture have practitioner adoption but limited rigorous evidence base for their distinctive claims.,high,pending,v4.2
Hermeticism,Corpus Hermeticum tradition,framework,theology,"Western esoteric tradition descending from late-antique Greek-Egyptian texts attributed to Hermes Trismegistus, organized around principles like 'as above, so below' and the seven Hermetic principles.",esoteric-tradition,,high,pending,v4.2
Hermetic Qabalah,Western Qabalah,framework,theology,"Western occult adaptation of Jewish Kabbalistic Tree of Life integrated with Hermetic, Tarot, and astrological correspondences; distinct from traditional Jewish Kabbalah.",esoteric-tradition,"Often conflated with traditional Jewish Kabbalah but represents a substantially different tradition with different sources, practitioners, and aims.",high,pending,v4.2
Thelema,Crowleyan Thelema,framework,theology,Aleister Crowley's spiritual system organized around the Law of Thelema ('Do what thou wilt') and the doctrine of True Will.,esoteric-tradition,,high,pending,v4.2
Rosicrucianism,,framework,theology,Western esoteric tradition originating in early-17th-century manifestos and continued through modern organizations like AMORC and the Rosicrucian Fellowship.,esoteric-tradition,"Contemporary Rosicrucian organizations differ substantially in lineage, practice, and authority; the original manifesto authors remain unidentified.",high,pending,v4.2
Neo-Platonic Emanation,Plotinian Cosmology,framework,philosophy,"Plotinus's cosmological framework of reality emanating from the One through the Nous (Intellect) and Soul down to matter; profoundly influential on Christian, Islamic, and Jewish mystical traditions.",philosophical-tradition,,high,pending,v4.2
Gnosticism,,framework,theology,Late-antique religious tradition organized around the demiurge-pleroma-sophia cosmology and salvation through gnosis (direct knowledge of divine reality).,esoteric-tradition,,high,pending,v4.2
Fourth Way,Gurdjieff Work,framework,theology,"Gurdjieff and Ouspensky's framework integrating self-remembering, the three centers, and the enneagram of process (distinct from the personality enneagram) toward conscious development.",esoteric-tradition,Gurdjieff's source claims (Sarmoung Brotherhood) are unverifiable; the system's effectiveness claims rest on practitioner testimony rather than empirical evaluation.,high,pending,v4.2
A Course in Miracles,ACIM,framework,theology,"Helen Schucman's spiritual text and curriculum synthesizing Christian language with Vedantic non-dualism, organized around the distinction between the ego and the Holy Spirit.",esoteric-tradition,,high,pending,v4.2
Swedenborgianism,New Church teachings,framework,theology,"Emanuel Swedenborg's framework of correspondences between spiritual and natural worlds; influential on Blake, Emerson, James, and Borges.",esoteric-tradition,,high,pending,v4.2
The White Goddess,Triple Goddess Archetype,framework,narrative studies,Robert Graves's mythopoetic framework arguing for a single triple-goddess archetype underlying European mythology and poetic inspiration.,philosophical-tradition,"Specific historical claims about pre-Christian European goddess religion have been rejected by mainstream classical scholarship; influence on second-wave feminism, neopaganism, and Joseph Campbell is nonetheless substantial.",high,pending,v4.2
Orgone Theory,Orgonomy,framework,psychology,Wilhelm Reich's theory of a universal life-force energy claimed to be physically measurable and accumulable through specially constructed devices.,organizing-schema,Specific empirical claims about orgone energy have been comprehensively rejected by physics; orgone accumulators were prohibited by FDA injunction in 1954. The framework persists primarily in alternative-medicine and esoteric contexts rather than physics or contemplative practice.,high,pending,v4.2
Family Constellations,Hellinger Constellations; Knowing Field,framework,psychology,Bert Hellinger's therapeutic methodology using group representation of family members to surface and resolve transgenerational dynamics.,organizing-schema,No rigorous empirical support for the methodology's distinctive claims about systemic transmission; some clinical adoption in continental European contexts but not widely accepted in mainstream psychotherapy.,high,pending,v4.2
Principled Negotiation,Harvard Negotiation Project method,framework,negotiation,"Fisher and Ury's framework separating people from problem, focusing on interests rather than positions, generating options, and using objective criteria.",organizing-schema,,high,pending,v4.2
BATNA,Best Alternative to a Negotiated Agreement,tool,negotiation,"Fisher and Ury's concept of one's best fallback option outside the current negotiation, used as the threshold for accepting any agreement.",organizing-schema,,high,pending,v4.2
ZOPA,Zone of Possible Agreement,tool,negotiation,The range between parties' reservation prices within which any agreement is mutually acceptable.,organizing-schema,,high,pending,v4.2
Integrative vs Distributive Bargaining,Mutual Gains vs Win-Lose,framework,negotiation,Walton and McKersie's foundational distinction between negotiations expanding joint value and negotiations dividing fixed value.,structured-empirical,,high,pending,v4.2
Thomas-Kilmann Conflict Mode Instrument,TKI,framework,psychology,"Five-mode framework for conflict-handling styles: competing, collaborating, compromising, avoiding, accommodating.",organizing-schema,Empirical support is moderate; the instrument's psychometric properties are weaker than its widespread organizational use suggests.,high,pending,v4.2
Nonviolent Communication,NVC,framework,psychology,"Marshall Rosenberg's framework structuring communication around observation, feeling, need, and request.",organizing-schema,Practitioner adoption is substantial but rigorous empirical validation is limited; some critics have noted that the method's self-presentation as 'nonviolent' begs the question.,high,pending,v4.2
Interest-Based Relational Approach,IBR,framework,negotiation,Conflict-resolution approach prioritizing relationship preservation alongside interest satisfaction.,organizing-schema,,high,pending,v4.2
Difficult Conversations Framework,Three Conversations Model,framework,negotiation,"Stone, Patton, and Heen's framework distinguishing the 'what happened' conversation, the feelings conversation, and the identity conversation.",organizing-schema,,high,pending,v4.2
Crucial Conversations,,framework,negotiation,"Patterson, Grenny, McMillan, and Switzler's framework for high-stakes conversations involving strong emotions and opposing opinions.",organizing-schema,,high,pending,v4.2
Transformative Mediation,,framework,law,Bush and Folger's mediation framework focused on empowering parties and fostering recognition rather than reaching settlement.,organizing-schema,,high,pending,v4.2
Facilitative Mediation,,framework,law,Mediation framework in which the mediator facilitates communication and negotiation without offering opinions on the merits.,organizing-schema,,high,pending,v4.2
Evaluative Mediation,,framework,law,Mediation framework in which the mediator offers opinions on the strengths and weaknesses of parties' positions and likely outcomes.,organizing-schema,,high,pending,v4.2
Restorative Circles,,framework,law,"Restorative practice framework using structured group dialogue to address harm, develop understanding, and rebuild relationships.",organizing-schema,,high,pending,v4.2
Dialogic Organization Development,Dialogic OD,framework,management,Bushe and Marshak's framework treating organizational change as emerging from shifts in conversation and meaning-making rather than diagnostic interventions.,organizing-schema,,high,pending,v4.2
Powell Doctrine,,framework,military science,"Colin Powell's set of decision criteria for committing US military force, including clear objectives, public support, and exit strategy.",doctrinal-institutional,,high,pending,v4.2
Deliberate Practice,,framework,psychology,"Anders Ericsson's framework characterizing the specific, effortful, feedback-driven practice associated with expert performance.",structured-empirical,The popular ten-thousand-hours formulation oversimplifies Ericsson's research; subsequent work (Macnamara et al.) has shown that deliberate practice explains less variance in expert performance than originally claimed.,high,pending,v4.2
Periodization,Block Periodization; Linear Periodization,framework,performance,Matveyev's framework structuring athletic training in cycles of varying intensity and volume to optimize peak performance.,structured-empirical,,high,pending,v4.2
Long-Term Athlete Development,LTAD,framework,performance,"Istvan Balyi's framework describing athletic development phases across the lifespan, used in national sport development systems.",organizing-schema,,high,pending,v4.2
Coerver Method,,framework,performance,Wiel Coerver's skill-based soccer coaching methodology emphasizing individual ball mastery through structured progression.,organizing-schema,,high,pending,v4.2
Mental Skills Training,Sport Psychology Skills,framework,performance,"Sport psychology toolkit covering goal-setting, imagery, self-talk, arousal regulation, and concentration applied to athletic performance.",structured-empirical,,high,pending,v4.2
Inner Game,Self 1 / Self 2,framework,performance,Timothy Gallwey's framework distinguishing the conscious 'Self 1' from the embodied 'Self 2' in performance contexts; widely influential beyond sports.,organizing-schema,,high,pending,v4.2
Marginal Gains,Aggregation of Marginal Gains,framework,performance,"Dave Brailsford's framework systematically pursuing one-percent improvements across many small factors, associated with British Cycling's competitive success.",organizing-schema,,high,pending,v4.2
Superforecasting,Good Judgment Project,framework,political science,Philip Tetlock's framework characterizing the practices and dispositions associated with consistently accurate forecasting under uncertainty.,structured-empirical,,high,pending,v4.2
Scenario Planning (Wack),Shell Scenarios,framework,management,"Pierre Wack's narrative scenario methodology developed at Royal Dutch Shell, focused on shifting executives' mental models rather than predicting futures.",organizing-schema,,high,pending,v4.2
Reference Class Forecasting,Outside View,framework,management,"Kahneman and Tversky's method, developed for projects by Bent Flyvbjerg, using base rates from comparable past cases to correct for the planning fallacy.",structured-empirical,,high,pending,v4.2
Prediction Markets,,framework,economics,Aggregating dispersed information about future events through trading mechanisms that produce price-based probability estimates.,structured-empirical,,high,pending,v4.2
Foresight Cone,Cone of Plausibility,framework,management,"Voros's framework distinguishing possible, plausible, probable, and preferable futures across an expanding cone of uncertainty.",organizing-schema,,high,pending,v4.2
Causal Layered Analysis,CLA,framework,management,"Sohail Inayatullah's four-layer futures methodology analyzing the litany, social causes, worldviews, and myths underlying any contested future.",organizing-schema,,high,pending,v4.2
Backcasting,,framework,management,Foresight method working backward from a desired future state to identify the actions and decisions needed to reach it.,organizing-schema,,high,pending,v4.2
Delphi Method,,framework,management,RAND-developed structured method for eliciting expert consensus through iterated anonymous rounds with controlled feedback.,structured-empirical,,high,pending,v4.2
Self-Organized Criticality,SOC,framework,mathematics,"Per Bak's framework characterizing systems that naturally tune themselves to critical states producing power-law-distributed avalanches, originating with the sandpile model.",formal-scientific,,high,pending,v4.2
Statistical Complexity,Epsilon-Machines,framework,mathematics,"Crutchfield's measure of the size of the minimal predictive model of a stochastic process, explicitly designed to distinguish complex from random processes.",formal-scientific,,high,pending,v4.2
Effective Complexity,,framework,mathematics,"Gell-Mann and Lloyd's measure separating regular from random components in a description, capturing the structured rather than random part.",formal-scientific,,high,pending,v4.2
Logical Depth,Bennett Depth,framework,mathematics,"Charles Bennett's measure of the computational resources required to produce an object from its shortest description, capturing how much 'work' a structured object encodes.",formal-scientific,,high,pending,v4.2
Fractal Dimension,Hausdorff Dimension,framework,mathematics,"Generalization of integer dimension capturing the scaling behavior of self-similar objects, formalized through Mandelbrot's work and earlier Hausdorff measure theory.",formal-scientific,,high,pending,v4.2
Extended Evolutionary Synthesis,EES,framework,biology,"Research programme extending the Modern Synthesis to incorporate developmental plasticity, niche construction, inclusive inheritance, and evolvability.",philosophical-tradition,Disputed within mainstream evolutionary biology about whether the proposed extensions add explanatory power beyond the standard Modern Synthesis.,high,pending,v4.2
NIST AI Risk Management Framework,NIST AI RMF,framework,cybersecurity,"NIST's voluntary framework for managing AI risks across govern, map, measure, and manage functions, released January 2023 with a generative AI profile in 2024.",regulatory-standard,,high,pending,v4.2
EU AI Act,,framework,governance and compliance,"European Union regulation establishing a risk-based framework for AI systems, including prohibited practices, high-risk requirements, and general-purpose AI obligations.",regulatory-standard,,high,pending,v4.2
ISO/IEC 42001,,framework,governance and compliance,"International standard specifying requirements for an AI management system (AIMS), published 2023.",regulatory-standard,,high,pending,v4.2
OECD AI Principles,,framework,governance and compliance,"Intergovernmental principles for trustworthy AI adopted by OECD members and partner countries, foundational to subsequent AI governance frameworks.",regulatory-standard,,high,pending,v4.2
Singapore Model AI Governance Framework,Model AI Governance Framework,framework,governance and compliance,"Singapore IMDA's voluntary framework for organizational AI governance, including a generative AI extension.",regulatory-standard,,high,pending,v4.2
AI Bill of Rights,Blueprint for an AI Bill of Rights,framework,governance and compliance,US Office of Science and Technology Policy's blueprint articulating five principles for automated systems affecting Americans' rights.,organizing-schema,Non-binding blueprint rather than enforceable regulation; superseded in regulatory effect by subsequent executive orders.,high,pending,v4.2
NIST Privacy Framework,,framework,governance and compliance,"NIST's voluntary privacy risk management framework parallel in structure to the Cybersecurity Framework, with identify-govern-control-communicate-protect functions.",regulatory-standard,,high,pending,v4.2
FFIEC AIO Booklet,FFIEC Architecture Infrastructure and Operations,framework,governance and compliance,"Federal Financial Institutions Examination Council's IT Examination Handbook booklet covering architecture, infrastructure, and operational practices.",regulatory-standard,,high,pending,v4.2
OCC Heightened Standards,12 CFR Part 30 Appendix D,framework,governance and compliance,Office of the Comptroller of the Currency's heightened risk governance standards applicable to large national banks above asset thresholds.,regulatory-standard,,high,pending,v4.2
Model Risk Management,SR 11-7; OCC 2011-12,framework,governance and compliance,"Federal Reserve and OCC supervisory guidance establishing the foundational US framework for identifying, assessing, and controlling model risk in financial institutions.",regulatory-standard,,high,pending,v4.2
NIST 800-171,,framework,cybersecurity,NIST publication specifying security requirements for protecting controlled unclassified information in nonfederal systems; foundational to CMMC.,regulatory-standard,,high,pending,v4.2
OCC Risk Governance Framework,OCC Heightened Standards Risk Governance,framework,governance and compliance,"Risk governance component of the OCC Heightened Standards specifying board, management, and three-lines requirements for large banks.",regulatory-standard,,high,pending,v4.2
Job Characteristics Model,Hackman-Oldham Model,framework,psychology,"Hackman and Oldham's framework relating five job characteristics (skill variety, task identity, task significance, autonomy, feedback) to motivation and performance through critical psychological states.",structured-empirical,,high,pending,v4.2
Equity Theory,Adams Equity Theory,framework,psychology,J. Stacy Adams's framework explaining workplace motivation through perceived fairness of input-outcome ratios compared to relevant others.,structured-empirical,,high,pending,v4.2
Expectancy Theory,Vroom Expectancy Theory,framework,psychology,"Victor Vroom's framework characterizing motivation as the product of expectancy (effort-performance), instrumentality (performance-outcome), and valence (outcome value).",structured-empirical,,high,pending,v4.2
Goal-Setting Theory,Locke and Latham,framework,psychology,"Locke and Latham's framework establishing that specific, challenging goals improve performance more than vague or easy goals, mediated by attention, effort, persistence, and strategy.",structured-empirical,,high,pending,v4.2
Resource Dependence Theory,RDT,framework,sociology,Pfeffer and Salancik's framework treating organizations as fundamentally shaped by their dependence on external resources and the strategies they use to manage that dependence.,structured-empirical,,high,pending,v4.2
Institutional Theory,Neo-Institutionalism,framework,sociology,"DiMaggio and Powell's framework explaining organizational similarity through coercive, mimetic, and normative isomorphic pressures and the pursuit of legitimacy.",philosophical-tradition,,high,pending,v4.2
Population Ecology of Organizations,Organizational Ecology,framework,sociology,Hannan and Freeman's framework treating organizational populations as subject to selection pressures analogous to biological evolution.,structured-empirical,,high,pending,v4.2
Garbage Can Model,,framework,management,"Cohen, March, and Olsen's framework characterizing decision-making in organized anarchies as the chance confluence of problems, solutions, participants, and choice opportunities.",philosophical-tradition,,high,pending,v4.2
Bounded Rationality,,framework,economics,"Herbert Simon's framework treating human decision-making as constrained by cognitive limits, information costs, and time pressure rather than approximating ideal rationality.",structured-empirical,,high,pending,v4.2
Recognition-Primed Decision Making,RPD,framework,psychology,Gary Klein's framework characterizing how experts make rapid decisions by recognizing situations as similar to past cases and mentally simulating the recognized response.,structured-empirical,,high,pending,v4.2
Naturalistic Decision Making,NDM,framework,psychology,"Klein, Zsambok, and others' research programme studying how people actually make decisions in real-world high-stakes settings rather than laboratory conditions.",structured-empirical,,high,pending,v4.2
Implementation Intentions,If-Then Planning,framework,psychology,Peter Gollwitzer's framework using specific if-then plans linking situational cues to intended responses to bridge the intention-behavior gap.,structured-empirical,,high,pending,v4.2
Tiny Habits,BJ Fogg's Tiny Habits,framework,psychology,BJ Fogg's behavior-change framework anchoring new minimum-viable behaviors to existing routines and celebrating immediate success.,organizing-schema,,high,pending,v4.2
Atomic Habits,Cue-Craving-Response-Reward,framework,psychology,James Clear's framework characterizing habit formation through the cue-craving-response-reward loop and four laws of behavior change.,organizing-schema,Practitioner-oriented synthesis of existing behavioral psychology rather than original empirical research.,high,pending,v4.2
Lindy Effect,Lindy's Law,framework,philosophy,Nassim Taleb's formulation of an empirical regularity (originally attributed to Mandelbrot and earlier observers) that the future life expectancy of non-perishable things scales with their current age.,organizing-schema,,high,pending,v4.2
Antifragility,,framework,philosophy,"Nassim Taleb's framework characterizing systems that gain rather than lose from disorder, volatility, and stress, distinct from both fragility and resilience.",philosophical-tradition,,high,pending,v4.2
Black Swan Theory,,framework,philosophy,"Nassim Taleb's framework characterizing high-impact rare events that are unpredictable in advance, rationalized after the fact, and undersampled by historical experience.",philosophical-tradition,,high,pending,v4.2
Double-Entry Bookkeeping,Pacioli System,framework,accounting,"Foundational logic of accounting representing every economic event as offsetting debits and credits across two or more accounts, codified by Pacioli in 1494 and underlying all modern accounting systems.",philosophical-tradition,,high,pending,v4.2
US GAAP,Generally Accepted Accounting Principles; FASB ASC,framework,accounting,"Body of accounting standards governing US financial reporting, codified in the FASB Accounting Standards Codification.",regulatory-standard,,high,pending,v4.2
IFRS,International Financial Reporting Standards,framework,accounting,IASB's body of accounting standards used across most of the developed world outside the United States.,regulatory-standard,,high,pending,v4.2
GASB,Governmental Accounting Standards Board,framework,accounting,"Body of accounting standards governing US state and local governmental entities, established in 1984.",regulatory-standard,,high,pending,v4.2
FASAB,Federal Accounting Standards Advisory Board,framework,accounting,Body of accounting standards governing US federal government financial reporting.,regulatory-standard,,high,pending,v4.2
IPSAS,International Public Sector Accounting Standards,framework,accounting,"International accounting standards for public sector entities, the public sector counterpart to IFRS.",regulatory-standard,,high,pending,v4.2
ASC 606,Revenue from Contracts with Customers,framework,accounting,FASB Accounting Standards Codification topic establishing a five-step framework for revenue recognition; converged with IFRS 15.,regulatory-standard,,high,pending,v4.2
ASC 842,Leases (US GAAP),framework,accounting,FASB topic requiring most leases to be recognized on the balance sheet as right-of-use assets and lease liabilities.,regulatory-standard,,high,pending,v4.2
ASC 815,Derivatives and Hedging,framework,accounting,"FASB topic governing recognition, measurement, and disclosure of derivative instruments and hedging activities.",regulatory-standard,,high,pending,v4.2
ASC 805,Business Combinations,framework,accounting,FASB topic governing the acquisition method of accounting for business combinations including goodwill and intangible asset recognition.,regulatory-standard,,high,pending,v4.2
IFRS 15,Revenue from Contracts with Customers (IFRS),framework,accounting,IASB standard for revenue recognition; converged with ASC 606 through the FASB-IASB joint revenue project.,regulatory-standard,,high,pending,v4.2
IFRS 16,Leases (IFRS),framework,accounting,"IASB standard requiring lessees to recognize most leases on the balance sheet, parallel in intent to ASC 842 with implementation differences.",regulatory-standard,,high,pending,v4.2
IFRS 17,Insurance Contracts,framework,accounting,"IASB standard establishing recognition, measurement, and disclosure principles for insurance contracts, effective 2023.",regulatory-standard,,high,pending,v4.2
FASB Conceptual Framework,Statements of Financial Accounting Concepts,framework,accounting,"FASB's foundational framework articulating qualitative characteristics, elements, recognition, and measurement principles underlying US GAAP standard-setting.",philosophical-tradition,,high,pending,v4.2
IASB Conceptual Framework,Conceptual Framework for Financial Reporting,framework,accounting,"IASB's foundational framework articulating the objectives, qualitative characteristics, and recognition principles underlying IFRS standard-setting.",philosophical-tradition,,high,pending,v4.2
GAAS,Generally Accepted Auditing Standards,framework,accounting,"AICPA's body of auditing standards governing US private company audits, organized into general, fieldwork, and reporting standards.",regulatory-standard,,high,pending,v4.2
PCAOB Auditing Standards,PCAOB AS,framework,accounting,"Public Company Accounting Oversight Board's auditing standards governing audits of US public companies, established by Sarbanes-Oxley.",regulatory-standard,,high,pending,v4.2
ISA,International Standards on Auditing,framework,accounting,IAASB's international auditing standards used in over 130 jurisdictions globally.,regulatory-standard,,high,pending,v4.2
Yellow Book,Government Auditing Standards; GAGAS,framework,accounting,GAO's Generally Accepted Government Auditing Standards governing audits of US government entities and federal funds.,regulatory-standard,,high,pending,v4.2
Accrual Accounting,,framework,accounting,Recognition principle recording revenues when earned and expenses when incurred regardless of cash timing; the foundation of modern financial reporting.,philosophical-tradition,,high,pending,v4.2
Cash Accounting,Cash Basis,framework,accounting,Recognition principle recording transactions when cash changes hands; permitted for smaller entities and tax purposes in some jurisdictions.,organizing-schema,,high,pending,v4.2
Activity-Based Costing,ABC,framework,accounting,Cooper and Kaplan's cost allocation framework assigning overhead to products based on activities consumed rather than volume-based allocation.,structured-empirical,,high,pending,v4.2
Throughput Accounting,,framework,accounting,"Goldratt's TOC-derived alternative to standard cost accounting prioritizing throughput, inventory, and operating expense over conventional cost allocation.",organizing-schema,,high,pending,v4.2
Lean Accounting,,framework,accounting,"Accounting methodology aligned with lean operations, replacing standard cost variance analysis with value-stream costing and visual management.",organizing-schema,,high,pending,v4.2
Triple-Entry Accounting,Grigg Triple-Entry,framework,accounting,Ian Grigg's cryptographic extension of double-entry bookkeeping using digitally signed receipts as a third record verifiable across parties; foundational to blockchain accounting concepts.,organizing-schema,,high,pending,v4.2
Fund Accounting,,framework,accounting,Accounting framework for nonprofit and governmental entities organizing financial activity around restricted-purpose funds rather than profit-loss tracking.,regulatory-standard,,high,pending,v4.2
Tax Basis Accounting,Income Tax Basis,framework,accounting,"Accounting framework for measuring transactions according to applicable tax law rather than GAAP or IFRS, used for tax filing purposes.",regulatory-standard,,high,pending,v4.2
Statutory Accounting Principles,SAP,framework,accounting,"Accounting framework for US insurance companies established by NAIC, emphasizing solvency over earnings measurement.",regulatory-standard,,high,pending,v4.2
Cost Accounting Standards,CAS,framework,accounting,Accounting standards established by the Cost Accounting Standards Board governing US government contractor cost allocation and measurement.,regulatory-standard,,high,pending,v4.2
Circle of Fifths,Cycle of Fifths,framework,music theory,"Visual and conceptual framework organizing the twelve pitch classes by perfect-fifth relationships, revealing key signatures, modulation paths, and harmonic distance.",organizing-schema,The visual diagram is an organizing schema; the underlying mathematical structure (cyclic group of order twelve under transposition) is rigorously formal.,high,pending,v4.2
Tonal Harmony,Common Practice Tonality,framework,music theory,"Major-minor harmonic system governing Western art music roughly 1600-1900, organized around tonic-dominant relationships and functional progressions.",philosophical-tradition,,high,pending,v4.2
Functional Harmony,Riemannian Function Theory,framework,music theory,"Hugo Riemann's framework analyzing chord progressions through tonic, subdominant, and dominant functions and their substitutions.",philosophical-tradition,,high,pending,v4.2
Roman Numeral Analysis,,framework,music theory,"Analytical framework labeling chords by their scale-degree position relative to a key, foundational to common-practice harmonic analysis.",organizing-schema,,high,pending,v4.2
Figured Bass,Thoroughbass,framework,music theory,"Baroque-era shorthand notation system using numerals beneath a bass line to indicate harmonic realization, foundational to Baroque ensemble practice.",philosophical-tradition,,high,pending,v4.2
Schenkerian Analysis,Schenker Analysis,framework,music theory,Heinrich Schenker's hierarchical reduction analysis revealing background structures (Ursatz) underlying tonal masterworks.,philosophical-tradition,Schenker's writings include culturally chauvinist claims about German musical superiority that are rejected in contemporary scholarship even where the analytical method retains influence.,high,pending,v4.2
Pitch-Class Set Theory,Set Theory (Music); Forte Set Theory,framework,music theory,Allen Forte's framework analyzing atonal music through pitch-class sets characterized by interval-class content and equivalence under transposition and inversion.,formal-scientific,,high,pending,v4.2
Twelve-Tone Technique,Dodecaphony; Serialism,framework,music theory,"Schoenberg's compositional system organizing pitch material around ordered rows containing all twelve pitch classes, manipulated through transposition, inversion, and retrograde.",philosophical-tradition,,high,pending,v4.2
Integral Serialism,Total Serialism,framework,music theory,"Mid-20th-century extension of twelve-tone technique applying serial organization to rhythm, dynamics, and articulation, associated with Boulez and Stockhausen.",philosophical-tradition,,high,pending,v4.2
Neo-Riemannian Theory,NRT,framework,music theory,"Late-20th-century transformational theory analyzing triadic relationships through parsimonious voice-leading operations (P, L, R), associated with Lewin, Hyer, and Cohn.",formal-scientific,,high,pending,v4.2
Just Intonation,JI,framework,music theory,"Tuning framework based on simple integer frequency ratios derived from the harmonic series, producing pure intervals at the cost of key flexibility.",formal-scientific,,high,pending,v4.2
Equal Temperament,12-TET; ET,framework,music theory,"Tuning framework dividing the octave into twelve mathematically equal semitones, optimizing key flexibility at the cost of pure intervals.",formal-scientific,,high,pending,v4.2
Modal System,Church Modes; Ecclesiastical Modes,framework,music theory,Pre-tonal framework organizing pitch material through eight (later twelve) modes characterized by distinctive interval patterns and finals.,philosophical-tradition,,high,pending,v4.2
Sonata Form,First-Movement Form,framework,music theory,"Compositional framework organizing movements into exposition, development, and recapitulation sections with characteristic key relationships, defining the Classical era.",philosophical-tradition,,high,pending,v4.2
Fugue,Fugal Procedure,framework,music theory,"Imitative contrapuntal procedure organized around a subject answered in related voices, formalized through Bach's practice and subsequent theoretical codification.",philosophical-tradition,,high,pending,v4.2
Species Counterpoint,Fuxian Counterpoint,framework,music theory,"Johann Joseph Fux's pedagogical framework for teaching voice-leading through five graduated species, codified in Gradus ad Parnassum (1725).",philosophical-tradition,,high,pending,v4.2
Voice Leading Rules,Part-Writing,framework,music theory,"Body of rules governing the linear connection of voices in tonal harmony, of which species counterpoint is the pedagogical version.",philosophical-tradition,,high,pending,v4.2
Generative Theory of Tonal Music,GTTM,framework,music theory,"Lerdahl and Jackendoff's framework for tonal music cognition explicitly modeled on Chomskyan generative grammar, organized around grouping, metrical, time-span, and prolongational reductions.",structured-empirical,,high,pending,v4.2
Tonal Pitch Space,TPS,framework,music theory,Fred Lerdahl's spatial model of pitch relationships providing quantitative measures of harmonic distance grounded in cognitive empirical work.,structured-empirical,,high,pending,v4.2
Raga System,,framework,music theory,"Indian classical framework organizing melodic material through ragas characterized by ascending and descending scales, characteristic phrases, and affective and time-of-day associations.",philosophical-tradition,,high,pending,v4.2
Tala System,,framework,music theory,Indian classical rhythmic framework organizing time through cyclic patterns (talas) with distinctive accent structures and characteristic divisions.,philosophical-tradition,,high,pending,v4.2
Maqam System,,framework,music theory,"Arabic, Turkish, and Persian framework organizing melodic material through modes (maqamat) with microtonal intervals and characteristic melodic phrases.",philosophical-tradition,,high,pending,v4.2
Pentatonic Theory,Five-Note Scales,framework,music theory,"Framework analyzing five-note scales central to East Asian, Celtic, blues, and many other musical traditions, with both major and minor pentatonic forms.",philosophical-tradition,,high,pending,v4.2
Nashville Number System,NNS,framework,music theory,"Practical chord-progression notation system using scale-degree numbers, developed in Nashville studio practice and widely used in country and pop production.",organizing-schema,,high,pending,v4.2
Berklee Chord-Scale Theory,Chord-Scale System,framework,music theory,"Berklee College of Music's pedagogical framework matching scales to chord types for jazz improvisation, codifying earlier bebop practice.",organizing-schema,,high,pending,v4.2
Blues Form,12-Bar Blues,framework,music theory,Compositional framework characterizing the twelve-bar blues progression with its characteristic harmonic motion and call-and-response phrase structure.,philosophical-tradition,,high,pending,v4.2
